"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-03-04;"Feminino";"55-59";1;1
2020-03-04;"Masculino";"60-64";1;1
2020-03-20;"Feminino";"30-34";1;1
2020-03-20;"Feminino";"35-39";2;2
2020-03-20;"Feminino";"45-49";1;1
2020-03-20;"Masculino";"30-34";2;2
2020-03-21;"Feminino";"25-29";1;1
2020-03-21;"Feminino";"40-44";1;1
2020-03-21;"Masculino";"55-59";1;1
2020-03-22;"Feminino";"70-74";1;1
2020-03-23;"Feminino";"35-39";1;3
2020-03-23;"Masculino";"50-54";1;1
2020-03-24;"Feminino";"25-29";1;2
2020-03-24;"Masculino";"25-29";1;1
2020-03-24;"Masculino";"5-9";1;1
2020-03-25;"Feminino";"0-4";2;2
2020-03-25;"Feminino";"10-14";1;1
2020-03-25;"Feminino";"15-19";2;2
2020-03-25;"Feminino";"20-24";16;16
2020-03-25;"Feminino";"25-29";13;15
2020-03-25;"Feminino";"30-34";12;13
2020-03-25;"Feminino";"35-39";14;17
2020-03-25;"Feminino";"40-44";9;10
2020-03-25;"Feminino";"45-49";5;6
2020-03-25;"Feminino";"5-9";2;2
2020-03-25;"Feminino";"50-54";5;5
2020-03-25;"Feminino";"55-59";3;4
2020-03-25;"Feminino";"60-64";1;1
2020-03-25;"Feminino";"65-69";1;1
2020-03-25;"Masculino";"15-19";4;4
2020-03-25;"Masculino";"20-24";5;5
2020-03-25;"Masculino";"25-29";5;6
2020-03-25;"Masculino";"30-34";12;14
2020-03-25;"Masculino";"35-39";8;8
2020-03-25;"Masculino";"40-44";10;10
2020-03-25;"Masculino";"45-49";2;2
2020-03-25;"Masculino";"5-9";4;5
2020-03-25;"Masculino";"50-54";1;2
2020-03-25;"Masculino";"55-59";1;2
2020-03-25;"Masculino";"60-64";2;3
2020-03-25;"Masculino";"65-69";2;2
2020-03-25;"Masculino";"70-74";1;1
2020-03-25;"Masculino";"80-84";1;1
2020-03-26;"Feminino";"0-4";1;3
2020-03-26;"Feminino";"15-19";1;3
2020-03-26;"Feminino";"20-24";9;25
2020-03-26;"Feminino";"25-29";6;21
2020-03-26;"Feminino";"30-34";8;21
2020-03-26;"Feminino";"35-39";4;21
2020-03-26;"Feminino";"40-44";2;12
2020-03-26;"Feminino";"45-49";4;10
2020-03-26;"Feminino";"50-54";1;6
2020-03-26;"Masculino";"0-4";3;3
2020-03-26;"Masculino";"15-19";1;5
2020-03-26;"Masculino";"20-24";3;8
2020-03-26;"Masculino";"25-29";3;9
2020-03-26;"Masculino";"30-34";2;16
2020-03-26;"Masculino";"35-39";4;12
2020-03-26;"Masculino";"40-44";3;13
2020-03-26;"Masculino";"45-49";1;3
2020-03-26;"Masculino";"50-54";1;3
2020-03-26;"Masculino";"55-59";1;3
2020-03-26;"Masculino";"60-64";2;5
2020-03-27;"Feminino";"0-4";3;6
2020-03-27;"Feminino";"10-14";1;2
2020-03-27;"Feminino";"15-19";2;5
2020-03-27;"Feminino";"20-24";16;41
2020-03-27;"Feminino";"25-29";11;32
2020-03-27;"Feminino";"30-34";17;38
2020-03-27;"Feminino";"35-39";11;32
2020-03-27;"Feminino";"40-44";8;20
2020-03-27;"Feminino";"45-49";4;14
2020-03-27;"Feminino";"5-9";1;3
2020-03-27;"Feminino";"50-54";5;11
2020-03-27;"Feminino";"55-59";2;6
2020-03-27;"Feminino";"60-64";3;4
2020-03-27;"Feminino";"65-69";3;4
2020-03-27;"Feminino";"80-84";3;3
2020-03-27;"Feminino";"85-89";2;2
2020-03-27;"Feminino";"90-94";1;1
2020-03-27;"Masculino";"0-4";7;10
2020-03-27;"Masculino";"10-14";2;2
2020-03-27;"Masculino";"15-19";2;7
2020-03-27;"Masculino";"20-24";7;15
2020-03-27;"Masculino";"25-29";10;19
2020-03-27;"Masculino";"30-34";6;22
2020-03-27;"Masculino";"35-39";4;16
2020-03-27;"Masculino";"40-44";3;16
2020-03-27;"Masculino";"45-49";2;5
2020-03-27;"Masculino";"5-9";2;7
2020-03-27;"Masculino";"50-54";4;7
2020-03-27;"Masculino";"55-59";3;6
2020-03-27;"Masculino";"60-64";3;8
2020-03-27;"Masculino";"65-69";1;3
2020-03-27;"Masculino";"75-79";1;1
2020-03-27;"Masculino";"80-84";3;4
2020-03-28;"Feminino";"0-4";3;9
2020-03-28;"Feminino";"10-14";4;6
2020-03-28;"Feminino";"15-19";5;10
2020-03-28;"Feminino";"20-24";17;58
2020-03-28;"Feminino";"25-29";15;47
2020-03-28;"Feminino";"30-34";19;57
2020-03-28;"Feminino";"35-39";17;49
2020-03-28;"Feminino";"40-44";8;28
2020-03-28;"Feminino";"45-49";4;18
2020-03-28;"Feminino";"5-9";4;7
2020-03-28;"Feminino";"50-54";4;15
2020-03-28;"Feminino";"55-59";6;12
2020-03-28;"Feminino";"60-64";1;5
2020-03-28;"Feminino";"65-69";3;7
2020-03-28;"Feminino";"70-74";3;4
2020-03-28;"Feminino";"75-79";3;3
2020-03-28;"Feminino";"80-84";1;4
2020-03-28;"Feminino";"85-89";1;3
2020-03-28;"Masculino";"0-4";7;17
2020-03-28;"Masculino";"10-14";1;3
2020-03-28;"Masculino";"15-19";6;13
2020-03-28;"Masculino";"20-24";8;23
2020-03-28;"Masculino";"25-29";8;27
2020-03-28;"Masculino";"30-34";13;35
2020-03-28;"Masculino";"35-39";10;26
2020-03-28;"Masculino";"40-44";11;27
2020-03-28;"Masculino";"45-49";5;10
2020-03-28;"Masculino";"5-9";1;8
2020-03-28;"Masculino";"50-54";4;11
2020-03-28;"Masculino";"55-59";3;9
2020-03-28;"Masculino";"60-64";2;10
2020-03-28;"Masculino";"65-69";1;4
2020-03-28;"Masculino";"70-74";2;3
2020-03-28;"Masculino";"75-79";1;2
2020-03-30;"Feminino";"15-19";2;12
2020-03-30;"Feminino";"25-29";3;50
2020-03-30;"Feminino";"30-34";6;63
2020-03-30;"Feminino";"35-39";5;54
2020-03-30;"Feminino";"40-44";2;30
2020-03-30;"Feminino";"45-49";2;20
2020-03-30;"Feminino";"50-54";1;16
2020-03-30;"Feminino";"55-59";2;14
2020-03-30;"Feminino";"60-64";2;7
2020-03-30;"Feminino";"75-79";1;4
2020-03-30;"Feminino";"80-84";1;5
2020-03-30;"Masculino";"15-19";1;14
2020-03-30;"Masculino";"20-24";2;25
2020-03-30;"Masculino";"30-34";3;38
