"","nome_mun","CD_GEOCODI","cod_rgi","nome_rgi","cod_rgint","nome_rgint"
"1","Porto Velho","1100205","110001","Porto Velho","1101","Porto Velho"
"2","Ariquemes","1100023","110002","Ariquemes","1101","Porto Velho"
"3","Jaru","1100114","110003","Jaru","1101","Porto Velho"
"4","Ji-Paraná","1100122","110004","Ji-Paraná","1102","Ji-Paraná"
"5","Cacoal","1100049","110005","Cacoal","1102","Ji-Paraná"
"6","Vilhena","1100304","110006","Vilhena","1102","Ji-Paraná"
"7","Rio Branco","1200401","120001","Rio Branco","1201","Rio Branco"
"8","Brasiléia","1200104","120002","Brasiléia","1201","Rio Branco"
"9","Sena Madureira","1200500","120003","Sena Madureira","1201","Rio Branco"
"10","Cruzeiro do Sul","1200203","120004","Cruzeiro do Sul","1202","Cruzeiro do Sul"
"11","Tarauacá","1200609","120005","Tarauacá","1202","Cruzeiro do Sul"
"12","Manaus","1302603","130001","Manaus","1301","Manaus"
"13","São Gabriel da Cachoeira","1303809","130002","São Gabriel da Cachoeira","1301","Manaus"
"14","Coari","1301209","130003","Coari","1301","Manaus"
"15","Manacapuru","1302504","130004","Manacapuru","1301","Manaus"
"16","Tefé","1304203","130005","Tefé","1302","Tefé"
"17","Tabatinga","1304062","130006","Tabatinga","1302","Tefé"
"18","Eirunepé","1301407","130007","Eirunepé","1302","Tefé"
"19","Lábrea","1302405","130008","Lábrea","1303","Lábrea"
"20","Manicoré","1302702","130009","Manicoré","1303","Lábrea"
"21","Parintins","1303403","130010","Parintins","1304","Parintins"
"22","Itacoatiara","1301902","130011","Itacoatiara","1304","Parintins"
"23","Boa Vista","1400100","140001","Boa Vista","1401","Boa Vista"
"24","Pacaraima","1400456","140002","Pacaraima","1401","Boa Vista"
"25","Rorainópolis","1400472","140003","Rorainópolis","1402","Rorainópolis - Caracaraí"
"26","Caracaraí","1400209","140004","Caracaraí","1402","Rorainópolis - Caracaraí"
"27","Belém","1501402","150001","Belém","1501","Belém"
"28","Cametá","1502103","150002","Cametá","1501","Belém"
"29","Abaetetuba","1500107","150003","Abaetetuba","1501","Belém"
"30","Castanhal","1502400","150004","Castanhal","1502","Castanhal"
"31","Bragança","1501709","150005","Bragança","1502","Castanhal"
"32","Capanema","1502202","150006","Capanema","1502","Castanhal"
"33","Paragominas","1505502","150007","Paragominas","1502","Castanhal"
"34","Capitão Poço","1502301","150008","Capitão Poço","1502","Castanhal"
"35","Marabá","1504208","150009","Marabá","1503","Marabá"
"36","Parauapebas","1505536","150010","Parauapebas","1503","Marabá"
"37","Tucuruí","1508100","150011","Tucuruí","1503","Marabá"
"38","Redenção","1506138","150012","Redenção","1504","Redenção"
"39","Xinguara","1508407","150014","Xinguara","1504","Redenção"
"40","Santarém","1506807","150015","Santarém","1505","Santarém"
"41","Itaituba","1503606","150016","Itaituba","1505","Santarém"
"42","Oriximiná","1505304","150017","Oriximiná","1505","Santarém"
"43","Altamira","1500602","150018","Altamira","1506","Altamira"
"44","Breves","1501808","150020","Breves","1507","Breves"
"45","Macapá","1600303","160001","Macapá","1601","Macapá"
"46","Laranjal do Jari","1600279","160002","Laranjal do Jari","1601","Macapá"
"47","Oiapoque","1600501","160003","Oiapoque","1602","Oiapoque - Porto Grande"
"48","Porto Grande","1600535","160004","Porto Grande","1602","Oiapoque - Porto Grande"
"49","Palmas","1721000","170001","Palmas","1701","Palmas"
"50","Porto Nacional","1718204","170002","Porto Nacional","1701","Palmas"
"51","Paraíso do Tocantins","1716109","170003","Paraíso do Tocantins","1701","Palmas"
"52","Miracema do Tocantins","1713205","170004","Miracema do Tocantins","1701","Palmas"
"53","Araguaína","1702109","170005","Araguaína","1702","Araguaína"
"54","Guaraí","1709302","170006","Guaraí","1702","Araguaína"
"55","Colinas do Tocantins","1705508","170007","Colinas do Tocantins","1702","Araguaína"
"56","Tocantinópolis","1721208","170008","Tocantinópolis","1702","Araguaína"
"57","Araguatins","1702208","170009","Araguatins","1702","Araguaína"
"58","Gurupi","1709500","170010","Gurupi","1703","Gurupi"
"59","Dianópolis","1707009","170011","Dianópolis","1703","Gurupi"
"60","São Luís","2111300","210001","São Luís","2101","São Luís"
"61","Pinheiro","2108603","210002","Pinheiro","2101","São Luís"
"62","Chapadinha","2103208","210003","Chapadinha","2101","São Luís"
"63","Itapecuru Mirim","2105401","210004","Itapecuru Mirim","2101","São Luís"
"64","Viana","2112803","210005","Viana","2101","São Luís"
"65","Barreirinhas","2101707","210006","Barreirinhas","2101","São Luís"
"66","Cururupu","2103703","210008","Cururupu","2101","São Luís"
"67","Santa Inês","2109908","210009","Santa Inês","2102","Santa Inês - Bacabal"
"68","Bacabal","2101202","210010","Bacabal","2102","Santa Inês - Bacabal"
"69","Governador Nunes Freire","2104677","210011","Governador Nunes Freire","2102","Santa Inês - Bacabal"
"70","Pedreiras","2108207","210012","Pedreiras","2102","Santa Inês - Bacabal"
"71","Caxias","2103000","210013","Caxias","2103","Caxias"
"72","Timon","2112209","210014","Timon","2103","Caxias"
"73","Codó","2103307","210015","Codó","2103","Caxias"
"74","Presidente Dutra","2109106","210016","Presidente Dutra","2104","Presidente Dutra"
"75","São João dos Patos","2111102","210017","São João dos Patos","2104","Presidente Dutra"
"76","Colinas","2103505","210018","Colinas","2104","Presidente Dutra"
"77","Imperatriz","2105302","210019","Imperatriz","2105","Imperatriz"
"78","Barra do Corda","2101608","210020","Barra do Corda","2105","Imperatriz"
"79","Açailândia","2100055","210021","Açailândia","2105","Imperatriz"
"80","Balsas","2101400","210022","Balsas","2105","Imperatriz"
